,,,,,Scheme Name,Eligibility Criteria,Scheme Benefits
,,,,,Mahatma Jyotirao Phule Jan Arogya Yojana (MJPJAY),Residents of Maharashtra belonging to economically weaker sections; families identified through ration cards (yellow/orange); income generally below ₹1–1.5 lakh annually; Aadhaar card required; domicile proof required; inclusion in government beneficiary database,"Cashless treatment up to ₹1.5–₹5 lakh per family per year at empanelled hospitals; covers surgeries, hospitalization, diagnostics, medicines, and post-hospitalization expenses"
,,,,,Ayushman Bharat – Pradhan Mantri Jan Arogya Yojana (PM-JAY),Families listed in SECC database; low-income households; rural deprived categories and urban workers; Aadhaar recommended; ration card or family ID required,Health insurance coverage up to ₹5 lakh per family per year; cashless and paperless treatment across India; includes major surgeries and treatments
,,,,,Namo Shetkari Maha Samman Nidhi Yojana,Small and marginal farmers in Maharashtra; must own cultivable land; registered in state agriculture database; Aadhaar-linked bank account required,"Direct financial assistance of ₹6,000 per year transferred in installments to bank account"
,,,,,Mahatma Phule Krishi Karj Mafi Yojana (Loan Waiver Scheme),Farmers with outstanding crop loans; loans taken from nationalized/cooperative banks; Aadhaar and land ownership proof required; loan eligibility cutoff as per govt notification,Loan waiver up to ₹2 lakh; relief from debt burden; improves credit eligibility
,,,,,Mukhyamantri Saur Krushi Pump Yojana,Farmers without electricity access or facing irrigation issues; priority to remote and tribal areas; land ownership proof required; Aadhaar and bank details needed,Subsidy for installation of solar-powered irrigation pumps; reduces electricity cost; ensures reliable irrigation
,,,,,Dr. Punjabrao Deshmukh Vasatigruh Nirvah Bhatta Yojana,Students from rural areas studying in cities; family income below ₹8 lakh (varies by category); must not have access to hostel; Aadhaar and admission proof required,Monthly financial assistance for accommodation and food expenses
,,,,,Rajarshi Shahu Maharaj Merit Scholarship,Students securing high marks (generally 75%+); family income below ₹8 lakh; domicile of Maharashtra; admission in higher education institutions,Financial assistance for continuation of higher education; incentive for meritorious students
,,,,,Post Matric Scholarship for SC/ST/OBC Students (MahaDBT),Students belonging to SC/ST/OBC categories; family income limits vary (₹1 lakh–₹2.5 lakh typical); must be enrolled in recognized institutions; caste certificate required; income certificate mandatory,Full or partial tuition fee reimbursement; maintenance allowance; exam fee coverage
,,,,,Majhi Ladki Bahin Yojana,Women aged 21–60 years; family income below ₹2.5 lakh; resident of Maharashtra; Aadhaar-linked bank account; not an income taxpayer,"Direct benefit transfer of ₹1,500 per month to eligible women"
,,,,,Majhi Kanya Bhagyashree Yojana,Girl child born in Maharashtra; parents must be residents; income below specified limit (approx ₹7.5 lakh or lower tiers); Aadhaar and birth certificate required,Financial assistance deposited in stages; long-term savings for education and marriage
,,,,,Indira Gandhi National Old Age Pension Scheme (State implemented),Citizens aged 60+ years; belonging to below poverty line (BPL) households; Aadhaar and age proof required; bank account necessary,Monthly pension support from state and central government
,,,,,Sanjay Gandhi Niradhar Anudan Yojana,"Destitute persons, widows, disabled, orphans; low-income families; domicile of Maharashtra; income certificate required; Aadhaar mandatory",Monthly financial assistance to support livelihood
,,,,,Pradhan Mantri Awas Yojana – Gramin (Maharashtra Implementation),Rural households without pucca house; identified in SECC data; income-based eligibility; Aadhaar and land details required,Financial assistance for construction of permanent house; subsidy transferred in installments
,,,,,Ramai Awas Gharkul Yojana,Scheduled Caste (SC) families below poverty line; Maharashtra residents; land ownership or allocation required; caste certificate needed,Financial assistance for house construction
,,,,,Mukhyamantri Rojgar Hami Yojana (Employment Guarantee Scheme),Rural residents willing to do unskilled labor; adult citizens; Aadhaar and job card registration required,Guaranteed wage employment for a fixed number of days; improves rural livelihood
,,,,,,,
,,,,,Post Matric Tuition Fee and Examination Fee (Freeship) for OBC Students,"Students belonging to OBC category; family income typically below ₹8 lakh per annum; must be residents of Maharashtra; enrolled in recognized institutions; caste certificate, income certificate, Aadhaar card, domicile certificate, and bank account required",Full or partial reimbursement of tuition fees and exam fees; reduces financial burden for higher education
,,,,,Pre-Matric Scholarship for SC Students,"Students from Scheduled Caste category studying in Class 1–10; family income generally below ₹2 lakh; Aadhaar, caste certificate, school bonafide certificate, and bank account required",Financial assistance for school education; includes maintenance allowance and support for study materials
,,,,,Pre-Matric Scholarship for OBC Students,"Students from OBC category studying in school; income limit usually up to ₹1–1.5 lakh annually; domicile of Maharashtra; Aadhaar, caste certificate, income certificate required",Scholarship support to reduce dropout rates; helps with basic education expenses
,,,,,Minority Post-Matric Scholarship Scheme,"Students belonging to notified minority communities (Muslim, Christian, Sikh, Buddhist, Jain, Parsi); family income below ₹2 lakh; admission in recognized institutions; Aadhaar, income certificate, minority certificate required","Covers tuition fees, maintenance allowance, and academic expenses"
,,,,,Eklavya Residential School Scheme (State Support),"Students from Scheduled Tribe (ST) category; merit-based selection; domicile of Maharashtra; caste certificate, Aadhaar, and academic records required","Free residential schooling, including lodging, food, education, and extracurricular development"
,,,,,Chief Minister Fellowship Program (Maharashtra),"Graduates/postgraduates with strong academic record; age typically 21–26 years; Maharashtra domicile preferred; selection through competitive process; documents include degree certificates, ID proof, and application forms","Monthly stipend (~₹50,000+), exposure to governance, and work experience with government departments"
,,,,,Maharashtra State Skill Development Mission (MSSDM),"Youth aged 15–45 years; residents of Maharashtra; Aadhaar card, educational qualification proof, and bank account required",Free or subsidized skill training; certification; placement assistance in industries
,,,,,Pandit Deendayal Upadhyay Rojgar Yojana (State variant),"Unemployed youth; income criteria may apply; domicile of Maharashtra; Aadhaar, education proof, and employment registration required","Skill development training, employment linkage, and self-employment support"
,,,,,Pradhan Mantri Fasal Bima Yojana (PMFBY – Maharashtra),"किसानों registered with agricultural department; must have insurable crops; Aadhaar, land records (7/12 extract), and bank account required","Crop insurance coverage against natural calamities, pests, and diseases; claim settlement directly to bank"
,,,,,National Food Security Scheme (Public Distribution System – Maharashtra),Families holding ration cards (Priority/Antyodaya); low-income households; Aadhaar linking required,"Subsidized food grains (rice, wheat, sugar) at low cost through fair price shops"
,,,,,Antyodaya Anna Yojana (State Implementation),Poorest of poor families identified by government; ration card required; Aadhaar recommended,Highly subsidized food grains (35 kg/month per family)
,,,,,Maharashtra Building and Other Construction Workers Welfare Scheme,"Registered construction workers aged 18–60; minimum work days required; Aadhaar, labor registration card, bank account needed","Financial assistance, accident insurance, education support for children, maternity benefits"
,,,,,Labour Welfare Board Education Assistance Scheme,Children of registered workers; income criteria applies; school/college enrollment required; Aadhaar and worker registration proof needed,"Scholarships for education, reimbursement of fees, and incentives for higher studies"
,,,,,Mukhyamantri Kisan Apghat Suraksha Yojana,"Farmers aged 18–70; residents of Maharashtra; Aadhaar, land ownership proof, and bank account required",Insurance coverage in case of accidental death or disability; compensation to family
,,,,,Sant Gadge Baba Gram Swachhata Abhiyan,Rural villages participating in cleanliness drives; implemented through Gram Panchayats,Financial incentives to villages achieving sanitation targets; promotes hygiene and infrastructure development
,,,,,Integrated Child Development Services (ICDS – Anganwadi Scheme),"Pregnant women, lactating mothers, and children (0–6 years); Aadhaar and local registration required","Nutrition support, immunization, preschool education, and health check-ups"
,,,,,Janani Suraksha Yojana (State Implementation),Pregnant women from low-income households; institutional delivery required; Aadhaar and health registration needed,Cash assistance for safe delivery; promotes institutional childbirth
,,,,,Maharashtra State Disability Pension Scheme,"Persons with 40% or more disability; income below specified limit; disability certificate, Aadhaar, and bank account required",Monthly pension support; additional benefits for severe disability cases
,,,,,Shravan Bal Seva Rajya Nivrutti Yojana,"Senior citizens aged 65+; low-income or destitute; Aadhaar, age proof, domicile required",Monthly financial assistance for elderly persons
,,,,,Maharashtra Urban Livelihoods Mission (DAY-NULM),"Urban poor households; Aadhaar, income certificate, and residence proof required","Self-employment support, skill training, SHG formation, and financial inclusion"
,,,,,Self Help Group (SHG) Bank Linkage Scheme,"Women forming SHGs; Aadhaar, group registration, and bank linkage required","Access to microcredit, revolving funds, and livelihood opportunities"
,,,,,Mahila Arthik Vikas Mahamandal (MAVIM) Schemes,"Rural women; SHG members; Aadhaar, income proof required","Financial inclusion, livelihood training, and entrepreneurship support"
,,,,,Mukhyamantri Solar Rooftop Subsidy Scheme,Residential consumers in Maharashtra; property ownership proof; Aadhaar and electricity connection required,Subsidy on rooftop solar installation; reduction in electricity bills
,,,,,Maharashtra e-Governance Digital Services Scheme,All residents; Aadhaar-linked identity; access through Maha e-Seva Kendras,"Online access to government services, certificates, and applications"
